Wall time,Step,Value
1742143234.472805,1000,-1.0
1742143235.180543,2000,0.25
1742143239.2300491,8000,-3.9000000953674316
1742143239.924953,9000,-0.6666666865348816
1742143240.613251,10000,-2.5
1742143241.293128,11000,4.75
1742143242.585377,13000,3.5
1742143243.275816,14000,2.0
1742143243.955082,15000,-1.0
1742143244.6522229,16000,1.25
1742143245.368897,17000,1.3333333730697632
1742143246.079085,18000,-1.0
1742143246.756783,19000,0.375
1742143247.470426,20000,5.0
1742143248.147656,21000,4.0
1742143248.831986,22000,-0.5
1742143249.5212412,23000,2.0
1742143250.2123039,24000,0.0
1742143250.913719,25000,-3.5
1742143252.286186,27000,-0.25
1742143252.954528,28000,-1.0
1742143253.66976,29000,-17.5
1742143254.974977,31000,-0.3333333432674408
1742143255.673911,32000,1.0
1742143256.350707,33000,-0.5
1742143257.769081,35000,-0.3333333432674408
1742143258.418305,36000,0.0
1742143259.070028,37000,1.75
1742143259.802786,38000,-1.0
1742143261.1485739,40000,-0.3333333432674408
1742143261.841387,41000,-0.8333333134651184
1742143262.5343611,42000,-1.0
1742143263.226627,43000,1.0
1742143263.894662,44000,2.5
1742143264.5883331,45000,-1.0
1742143265.281234,46000,-1.0
1742143265.925283,47000,-1.0
1742143266.651205,48000,-1.0
1742143267.310792,49000,0.699999988079071
1742143268.683614,51000,-0.5
1742143269.382549,52000,0.0
1742143270.080437,53000,5.0
1742143270.747804,54000,0.0
1742143272.778204,57000,0.0
1742143273.448024,58000,1.0
1742143274.13043,59000,-0.5
1742143274.8674262,60000,-0.75
1742143275.558721,61000,-0.5
1742143276.3262389,62000,-0.800000011920929
1742143278.292133,65000,-0.3333333432674408
1742143279.034741,66000,-1.0
1742143279.739201,67000,1.3333333730697632
1742143281.100235,69000,-0.5
1742143281.81775,70000,0.10000000149011612
1742143282.490515,71000,-1.0
1742143284.454775,74000,0.0
1742143285.202304,75000,0.5
1742143285.878475,76000,-1.25
1742143286.7152839,77000,0.0
1742143287.436977,78000,0.0
1742143288.197035,79000,1.75
1742143288.835829,80000,2.0
1742143290.878937,83000,-0.5
1742143291.601656,84000,-8.5
1742143292.293362,85000,0.0
1742143293.694005,87000,-0.6666666865348816
1742143294.337045,88000,-0.3333333432674408
1742143295.0017211,89000,-1.0
1742143295.761788,90000,5.0
1742143296.44292,91000,2.0
1742143297.093324,92000,-0.5
1742143297.830605,93000,-0.125
1742143298.505822,94000,-0.5
1742143299.1799319,95000,5.0
1742143299.934446,96000,0.75
1742143300.4151108,97000,1.0
1742143301.110614,98000,-1.0
1742143301.87452,99000,2.25
1742143302.5606358,100000,2.5
1742143303.2008462,101000,1.3333333730697632
1742143303.9232378,102000,0.0
1742143304.629177,103000,-1.0
1742143305.311349,104000,0.0
1742143306.018375,105000,0.0
1742143307.358188,107000,0.0
1742143308.683435,109000,0.0
1742143309.401108,110000,-0.5
1742143310.117552,111000,0.0
1742143310.795732,112000,1.3333333730697632
1742143311.465142,113000,0.75
1742143312.1222148,114000,-1.0
1742143312.88179,115000,-0.5
1742143314.211325,117000,-1.0
1742143314.911444,118000,1.0
1742143315.603317,119000,-1.0
1742143316.983903,121000,0.0
1742143317.6571672,122000,-0.3333333432674408
1742143318.3498611,123000,1.75
1742143319.0419688,124000,-1.0
1742143319.7255712,125000,0.0
1742143320.450638,126000,-0.3333333432674408
1742143321.13453,127000,0.75
1742143321.827158,128000,-1.0
1742143322.524566,129000,2.0
1742143323.103144,130000,2.0
1742143323.815064,131000,0.25
1742143324.530923,132000,-1.0
1742143325.934117,134000,2.5
1742143326.6455848,135000,-1.0
1742143327.347496,136000,0.0
1742143327.9432309,137000,-0.5
1742143328.6326149,138000,0.0
1742143329.348126,139000,-0.3333333432674408
1742143330.7130082,141000,-1.0
1742143332.092459,143000,0.0
1742143332.7138638,144000,0.0
1742143333.406652,145000,0.0
1742143334.103839,146000,-0.75
1742143334.747521,147000,-0.3333333432674408
1742143336.177192,149000,-0.6666666865348816
1742143336.8643389,150000,-1.0
1742143337.573076,151000,2.0
1742143338.2570748,152000,4.25
1742143338.8975182,153000,2.5
1742143339.598198,154000,-0.1666666716337204
1742143340.278185,155000,-1.0
1742143340.957937,156000,-1.0
1742143342.313693,158000,1.3333333730697632
1742143343.019946,159000,-0.3333333432674408
1742143343.709729,160000,1.0
1742143344.398922,161000,0.75
1742143345.044992,162000,-4.5
1742143345.709118,163000,2.0
1742143346.628394,164000,1.6666666269302368
1742143348.7008178,167000,0.0
1742143349.391281,168000,1.3333333730697632
1742143350.107776,169000,-0.5
1742143350.754156,170000,-0.3333333432674408
1742143351.437383,171000,5.0
1742143352.134312,172000,0.0
1742143352.8289511,173000,-9.5
1742143354.1940749,175000,-1.0
1742143354.8904388,176000,0.0
1742143355.5912662,177000,-7.25
1742143356.237428,178000,0.30000001192092896
1742143356.929604,179000,1.399999976158142
1742143358.296427,181000,0.0
1742143358.98093,182000,-1.0
1742143359.661679,183000,2.0
1742143360.96327,185000,0.0
1742143361.614083,186000,-1.1666666269302368
1742143362.228012,187000,-1.5
1742143363.616692,189000,-0.5
1742143364.321214,190000,-0.5
1742143364.999957,191000,-0.5
1742143366.397433,193000,-24.0
1742143367.115084,194000,-1.0
1742143367.7458339,195000,0.0
1742143368.461827,196000,-1.0
1742143369.1335418,197000,1.5
1742143369.770752,198000,-0.5
1742143370.549577,199000,1.0
1742143371.176706,200000,-1.2000000476837158
1742143371.862675,201000,4.0
1742143374.55648,205000,0.0
1742143375.265459,206000,-2.1666667461395264
1742143375.9539342,207000,1.3333333730697632
1742143376.6149042,208000,0.5
1742143377.330966,209000,-0.75
1742143378.0445719,210000,-1.0
1742143379.3747132,212000,4.0
1742143380.762062,214000,-0.5
1742143381.453135,215000,-0.8333333134651184
1742143382.093709,216000,-11.199999809265137
1742143382.781468,217000,0.0
1742143383.4910321,218000,-10.5
1742143384.803443,220000,-0.5
1742143386.180515,222000,0.0
1742143386.867858,223000,0.0
1742143387.536334,224000,-0.25
1742143388.233762,225000,0.875
1742143388.915971,226000,-0.6666666865348816
1742143389.6206772,227000,1.25
1742143390.3274722,228000,0.375
1742143390.957946,229000,-1.0
1742143391.713093,230000,-1.0
1742143392.423956,231000,-1.0
1742143392.999255,232000,-0.5
1742143393.721133,233000,0.0
1742143394.371723,234000,-0.5
1742143395.064619,235000,-0.5
1742143395.7434392,236000,-0.3333333432674408
1742143397.1972558,238000,1.75
1742143398.564432,240000,0.0
1742143399.2498748,241000,3.75
1742143399.9856262,242000,-0.5
1742143400.687223,243000,0.0
