Wall time,Step,Value
1741874769.1920767,1000,1.1944444179534912
1741874770.2835095,2000,0.8125
1741874771.3627698,3000,0.5
1741874772.2545855,4000,1.4375
1741874773.1634629,5000,2.5625
1741874774.0987706,6000,0.375
1741874774.9703662,7000,4.75
1741874775.8927608,8000,-1.0
1741874776.8505774,9000,0.5909090638160706
1741874777.7272367,10000,0.2368421107530594
1741874778.6374738,11000,0.6666666865348816
1741874779.5641577,12000,0.1428571492433548
1741874780.517604,13000,-1.2142857313156128
1741874781.4390984,14000,0.949999988079071
1741874782.3362486,15000,1.75
1741874783.1627648,16000,2.5
1741874784.0505362,17000,0.75
1741874784.8902283,18000,-0.5714285969734192
1741874785.7463768,19000,1.7142857313156128
1741874786.749209,20000,2.9375
1741874787.676485,21000,-2.444444417953491
1741874788.5829666,22000,0.5
1741874789.5348065,23000,0.5714285969734192
1741874790.424912,24000,2.0
1741874791.330646,25000,0.5
1741874792.109224,26000,-0.625
1741874792.9849474,27000,-1.0
1741874794.7132015,29000,-23.899999618530273
1741874795.604804,30000,2.200000047683716
1741874796.4780066,31000,0.2777777910232544
1741874797.3967674,32000,-0.6499999761581421
1741874798.2285738,33000,-7.777777671813965
1741874799.164839,34000,-1.2142857313156128
1741874800.2075703,35000,1.75
1741874801.267825,36000,-0.1428571492433548
1741874802.4071012,37000,-0.1428571492433548
1741874803.4386122,38000,2.5
1741874804.375886,39000,1.100000023841858
1741874805.267804,40000,3.1666667461395264
1741874806.0323095,41000,0.375
1741874807.0785606,42000,-10.214285850524902
1741874807.9193864,43000,2.0714285373687744
1741874808.850717,44000,0.1666666716337204
1741874809.712775,45000,1.5
1741874811.437053,47000,-4.666666507720947
1741874812.510766,48000,0.5714285969734192
1741874813.308258,49000,2.0
1741874814.0791426,50000,-0.4166666567325592
1741874815.120933,51000,-4.111111164093018
1741874816.0567524,52000,0.03846153989434242
1741874816.9354417,53000,-5.642857074737549
1741874817.8374465,54000,0.78125
1741874818.703134,55000,1.75
1741874819.6053946,56000,-14.0
1741874820.521178,57000,0.27272728085517883
1741874821.414763,58000,0.7916666865348816
1741874822.321696,59000,2.450000047683716
1741874823.240962,60000,1.2857142686843872
1741874824.0979793,61000,0.2777777910232544
1741874824.9251142,62000,0.44999998807907104
1741874825.9123268,63000,-0.2222222238779068
1741874826.7732966,64000,0.5909090638160706
1741874827.6938205,65000,2.5833332538604736
1741874828.5809612,66000,3.25
1741874829.4524453,67000,-51.0
1741874830.3415158,68000,0.5
1741874831.2388477,69000,1.0
1741874832.0958173,70000,-2.125
1741874832.9234164,71000,5.0
1741874833.817613,72000,-9.625
1741874834.6901064,73000,2.6666667461395264
1741874835.6119196,74000,-2.222222328186035
1741874836.5431519,75000,1.3333333730697632
1741874837.4785082,76000,-5.75
1741874838.4144027,77000,-2.5833332538604736
1741874839.466294,78000,0.9583333134651184
1741874840.3661842,79000,1.149999976158142
1741874841.3335402,80000,0.9444444179534912
1741874842.218627,81000,2.5999999046325684
1741874843.104213,82000,0.4000000059604645
1741874843.8871865,83000,0.7857142686843872
1741874844.7406807,84000,0.8571428656578064
1741874845.7066176,85000,-3.0
1741874846.5024717,86000,1.625
1741874847.3932877,87000,-8.0
1741874848.301141,88000,-0.0833333358168602
1741874849.2243063,89000,1.923076868057251
1741874850.1441479,90000,-4.785714149475098
1741874850.9437876,91000,1.3333333730697632
1741874851.913414,92000,-3.1500000953674316
1741874852.7396994,93000,1.6666666269302368
1741874853.6783986,94000,-0.0714285746216774
1741874854.5803995,95000,0.5
1741874856.312426,97000,-21.5
1741874857.30141,98000,1.600000023841858
1741874858.1951983,99000,-21.899999618530273
1741874859.104783,100000,0.25
1741874860.086835,101000,3.1666667461395264
1741874860.8562346,102000,-31.399999618530273
1741874862.0286634,103000,-18.0
1741874863.0738893,104000,4.300000190734863
1741874864.150517,105000,4.166666507720947
1741874865.377905,106000,2.0
1741874866.4520903,107000,1.0
1741874867.4293354,108000,3.0
1741874868.3308887,109000,-0.75
1741874869.2341776,110000,1.5
1741874870.1347024,111000,-0.125
1741874871.1560516,112000,-2.8333332538604736
1741874872.061772,113000,1.2777777910232544
1741874873.0256736,114000,0.4285714328289032
1741874873.9901233,115000,2.799999952316284
1741874875.029957,116000,-6.25
1741874876.0152159,117000,1.5
1741874876.934071,118000,-7.0
1741874877.8755674,119000,1.25
1741874878.926179,120000,-5.291666507720947
1741874879.8904207,121000,1.1666666269302368
1741874880.8637516,122000,2.0625
1741874881.980718,123000,1.125
1741874882.9752023,124000,1.0
1741874883.8319972,125000,2.0714285373687744
1741874884.7372973,126000,2.0833332538604736
1741874885.599902,127000,1.625
1741874886.666999,128000,-6.0714287757873535
1741874887.7050607,129000,2.0
1741874888.8341002,130000,1.3125
1741874889.6793425,131000,-0.5
1741874890.7067232,132000,-0.5
1741874891.6367626,133000,1.6666666269302368
1741874892.5776424,134000,-7.166666507720947
1741874893.4616864,135000,1.8333333730697632
1741874894.6120512,136000,0.4000000059604645
1741874895.6505532,137000,2.5
1741874896.6446416,138000,-14.625
1741874897.592634,139000,-17.100000381469727
1741874898.6027594,140000,3.0
1741874899.578595,141000,1.5
1741874900.631114,142000,-5.9285712242126465
1741874901.6482294,143000,0.4166666567325592
1741874902.6757894,144000,-10.416666984558105
1741874903.8418212,145000,-0.20000000298023224
1741874904.9594524,146000,-9.5
1741874906.0120232,147000,2.0
1741874907.0563636,148000,0.20000000298023224
1741874907.9604294,149000,5.0
